URL,Content creator,Username,Date added,Ads in Live,Facebook Page followers,Language,Blue verification,Videos published in the last 7 days,Median views per video (28 days)
www.facebook.com/9741201830,Jeff Hardy,jeffhardy,2022-11-10,no,2050088,English,yes,0,0
www.facebook.com/975263115863926,Shining A Light: A Concert for Progress on Race in America,ShiningLightNow,2023-04-22,no,7987,English,yes,0,0
www.facebook.com/9758638611,Singletrack Mountain Bike Magazine,singletrackmag,2018-04-27,no,528647,English,yes,0,0
www.facebook.com/976448492402314,Peter Nieto,peternietomusic,2023-04-23,no,38090,Spanish,yes,0,0
www.facebook.com/976982005699199,Laura Lynn,lauralynnfanpagina,2023-04-23,no,13228,Dutch,yes,0,0
www.facebook.com/97883211538,IZÏA,Iziamusic,2022-04-09,no,180302,French,yes,0,0
www.facebook.com/97896286322,Noelia,OfficialNoelia,2022-09-06,no,2483748,Spanish,yes,0,0
www.facebook.com/979091295545221,Saleh gomaa,SalehG22,2022-07-30,no,1924226,Arabic,yes,0,0
www.facebook.com/980353031982110,"Love, Lust or Run",LoveLustRun,2023-04-22,no,52244,English,yes,0,0
www.facebook.com/9815486986,Runner's World,RunnersWorld,2017-12-12,no,2011905,English,yes,0,0
www.facebook.com/982866325078882,No Way,Nowayoriginal,2023-06-29,yes,1672795,English,yes,0,0
www.facebook.com/982935405165359,Chanda Lynn,chandalynn33,2023-06-20,yes,788031,English,yes,0,0
www.facebook.com/98300606355,Reik,Reik,2020-11-18,no,17136384,Spanish,yes,0,0
www.facebook.com/98302105886,Cassidy La Creme,CassidyLaCreme,2021-09-21,no,188167,Malay,yes,0,0
www.facebook.com/983521941681275,Jerry Purpdrank,purpdrank,2023-04-22,yes,5614906,English,yes,0,0
www.facebook.com/984017948362424,O Rodolfo Abrantes,orodolfoabrantes,2022-09-04,no,248926,Portuguese,yes,0,0
www.facebook.com/984130951678431,Emad Maher,emadmaherofficial,2023-04-23,no,188434,Arabic,yes,0,0
www.facebook.com/98429248546,Hana Shiha,Hanashiha.me,2020-11-09,no,3256145,Arabic,yes,0,0
www.facebook.com/984981281566599,Runaway June,RunawayJuneOfficial,2023-04-05,no,197354,English,yes,0,0
www.facebook.com/985096874884614,Said Aguilar,saidaguilaroficial,2023-04-22,no,7390,Spanish,yes,0,0
www.facebook.com/986195791419925,Finn Bálor,DemonFinnBalorWWE,2022-11-10,no,2287117,English,yes,0,0
www.facebook.com/986366174770383,Elise Trouw,elisetrouwmusic,2023-04-22,no,891818,English,yes,0,0
www.facebook.com/987171871471723,Valeria Raciti,Valeria.raciti.87,2021-03-02,no,122843,Italian,yes,0,0
www.facebook.com/987500761281411,Sunday Pinasaya,GMASundayPinaSaya,2018-12-21,no,723803,Tagalog,yes,0,0
www.facebook.com/988095394616824,B/R Kicks,BRKicks,2023-06-08,no,570352,English,yes,0,0
www.facebook.com/989338031120687,Hassan Butt,IHassanButt,2023-04-18,no,163306,English,yes,0,0
www.facebook.com/990194024356243,Bad Omens,badomensofficial,2023-07-20,no,258635,English,yes,0,0
www.facebook.com/99173493573,Spokane Shock Team,thespokanereality,2023-04-22,no,81886,English,yes,0,0
www.facebook.com/991918840877950,Sandra Sicher,SanSicher,2023-04-23,yes,712328,Spanish,yes,0,0
www.facebook.com/993002740770917,Cookie The News,CookieTheNews,2023-04-22,no,353136,English,yes,0,0
