URL,Content creator,Username,Date added,Facebook Page followers,Language,Blue verification,Videos published in the last 7 days,Median views per video (28 days)
https://www.facebook.com/1644713009114776,MetDaan DIY,MetDaanDIY,2023-07-21,19246422,English,yes,6,64527
https://www.facebook.com/18478252282,Martin Lawrence,MartinLawrence,2023-07-24,19168201,English,yes,0,0
https://www.facebook.com/1689842494626082,Tasty Demais,tastydemais,2023-04-26,19075217,Portuguese,yes,0,0
https://www.facebook.com/133025843429181,Dude Perfect,DudePerfect,2023-03-09,19052814,English,yes,7,68062
https://www.facebook.com/1045035215535674,Twisted,JungleTwisted,2023-03-09,18980854,English,yes,21,70088
https://www.facebook.com/51235461750,Frases,Frases,2023-03-09,18955097,Spanish,yes,0,77526
https://www.facebook.com/317337420952,Camilo,camilomusica,2023-03-09,18899208,Spanish,yes,0,60642
https://www.facebook.com/553255161457750,أحمد حلمي Ahmed Helmy,AhmedHelmy,2023-03-09,18792502,Arabic,yes,6,194799
https://www.facebook.com/542899405847789,HotSpanish,HotSpanish,2023-03-09,18754112,Spanish,yes,0,0
https://www.facebook.com/24917502084,Ricardo Arjona,arjonaoficial,2023-07-21,18689614,Spanish,yes,1,56969
https://www.facebook.com/117449648933149,Adel Emam - عادل إمام,adelemam,2023-07-21,18572913,Arabic,yes,10,365406
https://www.facebook.com/776927149006671,The Food Ranger,thefoodranger,2023-03-09,18538931,English,yes,3,0
https://www.facebook.com/282663658463111,Shemaroo Entertainment Ltd.,ShemarooEnt,2023-03-09,18273228,English,yes,35,37677
https://www.facebook.com/58201805768,MotoGP,MotoGP,2023-03-09,18250619,English,yes,12,33913
https://www.facebook.com/13678589643,Rtv । আরটিভি,rtvonline,2023-07-08,18218581,Bengali,yes,12,34359
https://www.facebook.com/268809099950451,برنامج معكم منى الشاذلي,Ma3komMona,2023-07-21,18180354,Arabic,yes,0,0
https://www.facebook.com/341207211843,cutepolish,cutepolish,2023-05-23,18118012,English,yes,14,27070
https://www.facebook.com/598818976859943,Freddy DeAnda,freddy.deanda,2023-07-03,18113807,Spanish,yes,26,0
